tile_id,typology,has_park,has_school,has_museum,has_water
chicago_tile_0,residential,True,False,False,True
chicago_tile_1,residential,True,True,False,True
chicago_tile_2,residential,False,False,False,True
chicago_tile_3,residential,True,False,False,True
chicago_tile_4,residential,False,False,False,True
chicago_tile_5,residential,False,True,False,False
chicago_tile_6,residential,False,False,False,False
chicago_tile_7,grass,True,True,True,True
chicago_tile_8,meadow,True,False,False,True
chicago_tile_9,residential,False,True,False,True
chicago_tile_10,grass,False,True,True,True
chicago_tile_11,grass,True,True,False,True
chicago_tile_12,residential,True,True,False,True
chicago_tile_13,residential,True,True,False,False
chicago_tile_14,residential,True,False,False,True
chicago_tile_15,grass,True,False,False,True
chicago_tile_16,residential,True,True,False,True
chicago_tile_17,residential,False,False,False,False
chicago_tile_18,residential,True,True,False,True
chicago_tile_19,residential,True,False,False,False
chicago_tile_20,retail,True,False,False,True
chicago_tile_21,grass,False,True,False,True
chicago_tile_22,cemetery,False,True,False,False
chicago_tile_23,cemetery,False,True,False,True
chicago_tile_24,residential,True,True,False,False
chicago_tile_25,retail,False,False,False,False
chicago_tile_26,residential,False,False,False,True
chicago_tile_27,grass,False,False,False,True
chicago_tile_28,grass,False,False,False,True
chicago_tile_29,construction,False,False,False,True
chicago_tile_30,industrial,False,False,False,True
chicago_tile_31,quarry,False,False,False,True
chicago_tile_32,industrial,False,False,False,True
chicago_tile_33,industrial,False,True,False,True
chicago_tile_34,industrial,True,True,False,True
chicago_tile_35,industrial,False,True,False,False
chicago_tile_36,residential,False,False,False,False
chicago_tile_37,retail,True,True,True,False
chicago_tile_38,residential,True,True,False,True
chicago_tile_39,grass,True,True,True,True
chicago_tile_40,grass,True,True,True,True
chicago_tile_41,grass,True,True,True,True
chicago_tile_42,grass,True,True,True,True
chicago_tile_43,grass,True,False,True,True
chicago_tile_44,grass,True,False,False,True
chicago_tile_45,grass,True,True,False,True
chicago_tile_46,grass,True,True,True,True
chicago_tile_47,grass,True,True,True,True
chicago_tile_48,residential,True,True,True,True
chicago_tile_49,residential,False,True,False,False
chicago_tile_50,residential,True,True,False,False
chicago_tile_51,residential,True,True,False,True
chicago_tile_52,residential,True,True,True,True
chicago_tile_53,residential,True,True,True,True
chicago_tile_54,residential,True,True,False,True
chicago_tile_55,residential,True,True,True,True
chicago_tile_56,grass,True,True,True,True
chicago_tile_57,retail,True,True,False,True
chicago_tile_58,grass,True,True,True,True
chicago_tile_59,grass,True,True,False,True
chicago_tile_60,grass,True,True,True,True
chicago_tile_61,residential,True,True,False,True
chicago_tile_62,residential,True,True,False,False
chicago_tile_63,cemetery,False,True,False,True
chicago_tile_64,grass,True,True,False,True
chicago_tile_65,grass,True,True,False,True
chicago_tile_66,grass,True,True,False,True
chicago_tile_67,grass,True,True,False,True
chicago_tile_68,grass,True,True,False,True
chicago_tile_69,retail,False,True,False,False
chicago_tile_70,retail,True,True,False,False
chicago_tile_71,retail,False,True,False,False
chicago_tile_72,residential,False,True,False,False
chicago_tile_73,residential,True,True,True,False
chicago_tile_74,grass,True,True,False,False
chicago_tile_75,residential,True,True,False,False
chicago_tile_76,residential,True,True,False,False
chicago_tile_77,residential,True,True,False,False
chicago_tile_78,residential,False,False,False,False
chicago_tile_79,grass,True,True,False,False
chicago_tile_80,residential,True,True,False,False
chicago_tile_81,residential,False,False,False,False
chicago_tile_82,residential,True,False,False,True
chicago_tile_83,residential,False,True,False,True
chicago_tile_84,residential,False,False,False,True
chicago_tile_85,residential,False,False,False,True
chicago_tile_86,residential,False,True,False,True
chicago_tile_87,residential,False,False,False,False
chicago_tile_88,residential,True,False,False,True
chicago_tile_89,meadow,True,True,False,True
chicago_tile_90,residential,True,False,False,True
chicago_tile_91,residential,True,False,False,True
chicago_tile_92,residential,True,False,False,True
chicago_tile_93,residential,True,False,False,False
chicago_tile_94,residential,True,False,False,False
chicago_tile_95,grass,True,False,False,False
chicago_tile_96,grass,True,False,False,True
chicago_tile_97,grass,True,True,False,True
